YEAR,MONTH,AIRPORT,FLIGHTS,STRIKES,WND_ANG_MEAN,WND_SPD_MEAN,CIG_MEAN,VIS_MEAN,TMP_MEAN,DEW_MEAN,SLP_MEAN
2018,1,ATL,66907,7,222.86,4.26,11381.0,16026.57,0.0,-8.34,1030.02
2018,1,AUS,9702,4,100.0,3.22,7821.0,15020.33,14.2,8.45,1019.62
2018,1,CLT,39493,4,255.0,1.42,22000.0,16046.5,-0.85,-6.52,1029.95
2018,1,CVG,7823,5,186.67,4.65,1249.0,9659.25,3.48,0.15,1024.03
2018,1,DAL,12019,5,217.5,3.38,14839.8,16093.0,1.0,-5.44,1030.24
2018,1,DEN,43930,7,223.33,3.07,22000.0,16066.43,0.71,-10.39,1022.17
2018,1,DFW,49831,11,220.0,5.53,22000.0,15887.55,2.63,-7.05,1027.52
2018,1,DTW,29512,6,238.33,3.88,762.0,14682.17,1.03,-1.3,1020.57
2018,1,FLL,23444,5,326.0,3.38,13596.2,16093.0,12.78,8.78,1020.38
2018,1,IAH,34523,7,293.33,3.14,18874.57,14332.29,9.76,1.99,1024.27
2018,1,JFK,32015,10,271.0,4.58,17605.0,14401.4,-3.17,-8.77,1029.62
2018,1,LAX,52042,8,97.5,1.8,22000.0,14255.88,13.86,4.3,1016.64
2018,1,MCI,9126,0,,,,,,,
2018,1,MCO,26649,2,290.0,3.85,11442.0,16093.0,11.65,6.1,1017.1
2018,1,MEM,3939,7,252.86,4.91,15210.33,14700.29,2.23,-5.09,1023.84
2018,1,ORD,65966,2,240.0,3.85,,8500.0,1.95,0.0,1009.05
2018,1,RSW,7816,5,44.0,3.62,22000.0,16093.0,9.88,4.32,1026.86
2018,1,SDF,3711,1,170.0,7.7,1006.0,16093.0,15.6,11.1,
2018,1,SEA,31666,5,188.0,5.88,7648.33,14734.0,6.54,4.42,1015.3
2018,1,SLC,19846,3,310.0,1.37,12371.5,16031.0,0.17,-3.33,1029.13
2018,1,TPA,14399,3,143.33,4.8,14737.67,16031.0,11.87,8.13,1025.6
2018,2,ATL,62386,12,174.0,3.22,8505.11,13463.92,14.98,11.25,1024.44
2018,2,AUS,8956,8,110.0,3.74,4276.33,15868.62,10.8,7.78,1018.39
2018,2,CLT,37408,6,194.0,3.12,10488.6,16077.5,10.47,4.08,1026.94
2018,2,CVG,7351,6,155.0,4.55,11838.25,16062.0,5.47,0.63,1023.45
2018,2,DAL,10723,1,350.0,9.8,22000.0,16093.0,15.0,7.2,
2018,2,DEN,39445,3,206.67,5.13,14758.0,14483.67,-6.1,-13.53,1012.75
2018,2,DFW,45375,18,165.33,4.26,9311.42,12479.33,10.37,7.67,1016.72
2018,2,DTW,26391,7,201.43,5.13,4572.0,13013.29,0.77,-1.81,1023.1
2018,2,FLL,22096,4,92.5,7.07,6483.25,16093.0,24.58,20.3,1024.3
2018,2,IAH,32644,5,90.0,3.72,188.8,3218.6,16.12,15.1,1019.3
2018,2,JFK,30640,12,236.36,3.6,12056.67,14051.58,1.22,-3.5,1028.67
2018,2,LAX,46923,3,110.0,2.23,11061.0,11471.33,11.87,5.73,1017.17
2018,2,MCI,8179,4,177.5,3.35,1280.0,8825.75,3.05,0.27,1017.62
2018,2,MCO,24794,6,20.0,0.77,11873.83,12204.0,17.32,15.08,1023.03
2018,2,MEM,3668,5,152.0,3.92,731.5,11386.0,7.9,4.54,1022.94
2018,2,ORD,58421,4,235.0,3.85,731.5,13632.5,-0.15,-4.45,1021.28
2018,2,RSW,7712,5,92.5,2.06,13450.0,12954.8,19.0,17.2,1021.78
2018,2,SDF,3421,1,,0.0,,2000.0,3.9,3.3,1009.5
2018,2,SEA,28123,4,167.5,5.15,1829.0,16023.25,5.43,3.05,1022.78
2018,2,SLC,18200,1,190.0,7.2,,16000.0,1.1,-10.6,1022.2
2018,2,TPA,13420,6,220.0,1.63,14687.0,12249.17,18.9,17.03,1022.3
2018,3,ATL,74254,11,220.0,6.08,17206.67,15562.36,6.6,0.42,1023.01
2018,3,AUS,10735,5,184.0,3.18,9043.25,16074.4,18.78,11.78,1014.42
2018,3,CLT,42651,6,158.0,2.9,10915.4,14744.17,11.2,0.75,1017.37
2018,3,CVG,8790,7,272.5,3.46,13286.0,13584.71,1.41,-2.21,1019.07
2018,3,DAL,12280,18,148.12,3.68,9636.28,15735.44,14.95,8.86,1019.44
2018,3,DEN,46228,18,222.22,5.09,16247.67,15602.06,4.32,-4.54,1012.63
2018,3,DFW,52194,9,174.29,4.29,14969.25,14562.78,17.47,4.74,1013.2
2018,3,DTW,32369,14,209.09,2.82,16063.67,15448.5,-2.39,-7.29,1021.05
2018,3,FLL,25441,4,277.5,4.25,22000.0,16093.0,21.38,16.55,1019.98
2018,3,IAH,37410,6,230.0,3.6,12422.5,15288.33,16.97,8.23,1016.77
2018,3,JFK,33757,4,232.5,4.62,15174.67,16069.75,2.38,-5.85,1022.05
2018,3,LAX,53301,11,196.25,3.28,6053.36,12216.09,14.41,9.97,1016.21
2018,3,MCI,9851,2,240.0,6.2,,16000.0,4.15,-1.1,1020.65
2018,3,MCO,29359,5,262.0,6.18,15638.4,16093.0,18.22,2.88,1018.8
2018,3,MEM,4297,14,192.73,4.89,9316.82,15386.71,14.48,8.08,1017.57
2018,3,ORD,70183,4,105.0,4.25,14961.33,16046.5,0.4,-5.82,1027.07
2018,3,RSW,9584,4,210.0,3.6,22000.0,15690.75,20.0,14.18,1016.93
2018,3,SDF,4015,4,217.5,3.7,3566.33,12667.5,10.42,4.58,1015.6
2018,3,SEA,33090,6,178.33,3.02,15682.67,16031.0,7.02,3.27,1015.97
2018,3,SLC,21592,4,192.5,4.75,11564.0,12246.5,7.35,-0.42,1013.92
2018,3,TPA,15990,5,156.67,2.36,22000.0,14637.2,17.0,11.9,1018.38
2018,4,ATL,72303,23,218.5,3.16,11935.8,13059.26,14.04,9.77,1015.94
2018,4,AUS,11090,10,100.0,2.52,11218.5,14851.2,13.67,10.27,1017.61
2018,4,CLT,42366,15,146.43,3.66,16030.31,14505.4,13.35,6.89,1015.31
2018,4,CVG,8917,4,310.0,2.92,22000.0,15069.75,5.7,0.13,1021.82
2018,4,DAL,11737,19,161.18,4.24,10147.47,15838.95,14.44,8.33,1018.46
2018,4,DEN,45472,28,218.21,5.29,14570.94,14548.32,6.53,-2.95,1008.34
2018,4,DFW,50792,24,253.64,5.6,14321.45,15896.92,13.36,8.24,1016.95
2018,4,DTW,31455,12,240.0,3.46,18983.43,9957.42,3.98,-0.94,1017.19
2018,4,FLL,23922,5,197.5,3.48,9513.2,16093.0,25.34,21.9,1014.68
2018,4,IAH,35719,16,217.0,2.86,13137.47,15483.69,20.66,13.22,1017.13
2018,4,JFK,35323,8,148.57,4.46,10268.86,13620.0,8.19,0.92,1018.65
2018,4,LAX,52868,11,225.0,2.76,16541.88,13791.55,14.29,7.98,1015.96
2018,4,MCI,9506,4,187.5,5.03,10361.0,16069.75,13.2,6.52,1008.18
2018,4,MCO,27392,14,186.15,4.3,16700.67,15505.0,20.63,14.94,1017.69
2018,4,MEM,4246,20,152.5,4.38,16477.16,15112.55,13.92,3.78,1018.06
2018,4,ORD,69931,11,207.78,3.8,16576.12,14449.91,4.7,-4.79,1018.84
2018,4,RSW,6801,2,190.0,3.1,11686.0,16093.0,22.75,20.25,1014.7
2018,4,SDF,4221,3,140.0,2.9,14048.0,16062.0,14.1,2.43,1019.7
2018,4,SEA,33458,16,193.08,3.88,11409.5,14649.44,9.13,4.44,1018.53
2018,4,SLC,20207,10,217.0,5.16,13590.75,16065.1,15.28,-1.93,1011.74
2018,4,TPA,14387,8,168.57,3.42,6851.86,16081.38,21.39,16.74,1017.31
2018,5,ATL,75032,15,148.46,3.19,14821.6,13334.33,22.2,16.85,1017.97
2018,5,AUS,11701,16,165.71,4.11,12341.33,15081.38,27.72,19.32,1010.92
2018,5,CLT,43963,22,214.09,3.36,12349.79,15635.95,22.05,16.39,1018.4
2018,5,CVG,9425,12,180.83,3.14,14125.44,12936.08,19.59,15.01,1015.28
2018,5,DAL,12024,16,156.67,4.28,16424.25,15791.25,25.94,18.61,1012.64
2018,5,DEN,47627,53,217.69,3.8,11797.67,13590.08,12.85,5.32,1010.33
2018,5,DFW,53339,27,180.77,4.4,15889.77,15623.41,23.17,17.32,1013.34
2018,5,DTW,32550,30,163.2,2.97,6607.75,10971.2,16.25,11.21,1015.17
2018,5,FLL,23122,6,151.67,4.8,9441.67,16093.0,25.92,24.28,1015.38
2018,5,IAH,36386,29,147.14,2.75,17899.04,15501.69,24.84,20.32,1014.44
2018,5,JFK,37151,23,163.5,4.48,9830.24,13532.48,17.81,12.33,1016.62
2018,5,LAX,55059,10,209.0,4.21,19677.44,15582.3,16.68,11.21,1018.0
2018,5,MCI,9929,19,171.18,3.42,12044.91,14418.37,18.34,14.37,1012.77
2018,5,MCO,26994,13,113.85,2.9,14145.89,15735.23,22.83,20.25,1018.04
2018,5,MEM,4545,48,189.0,2.97,15741.6,15726.62,23.23,17.17,1015.46
2018,5,ORD,72870,46,137.63,3.01,15313.07,12126.89,16.21,10.32,1015.19
