Year|Month|DOMESTIC|INTERNATIONAL|TOTAL|airport|direction
2002|10|18939|497.0|19436|DEN|Origin
2002|11|17683|469.0|18152|DEN|Origin
2002|12|19168|510.0|19678|DEN|Origin
2002|TOTAL|190251|5090.0|195341|DEN|Origin
2003|1|19163|531.0|19694|DEN|Origin
2003|2|16948|502.0|17450|DEN|Origin
2003|3|17813|529.0|18342|DEN|Origin
2003|4|17312|511.0|17823|DEN|Origin
2003|5|17876|546.0|18422|DEN|Origin
2003|6|18866|547.0|19413|DEN|Origin
2003|7|19907|582.0|20489|DEN|Origin
2003|8|19946|608.0|20554|DEN|Origin
2003|9|18745|563.0|19308|DEN|Origin
2003|10|19358|537.0|19895|DEN|Origin
2003|11|18475|482.0|18957|DEN|Origin
2003|12|20086|548.0|20634|DEN|Origin
2003|TOTAL|224495|6486.0|230981|DEN|Origin
2004|1|20256|561.0|20817|DEN|Origin
2004|2|19489|534.0|20023|DEN|Origin
2004|3|21862|596.0|22458|DEN|Origin
2004|4|20889|558.0|21447|DEN|Origin
2004|5|21546|603.0|22149|DEN|Origin
2004|6|22032|566.0|22598|DEN|Origin
2004|7|23002|582.0|23584|DEN|Origin
2004|8|22980|578.0|23558|DEN|Origin
2004|9|20845|498.0|21343|DEN|Origin
2004|10|20788|533.0|21321|DEN|Origin
2004|11|19399|533.0|19932|DEN|Origin
2004|12|20956|623.0|21579|DEN|Origin
2004|TOTAL|254044|6765.0|260809|DEN|Origin
2005|1|20242|648.0|20890|DEN|Origin
2005|2|18791|580.0|19371|DEN|Origin
2005|3|21553|661.0|22214|DEN|Origin
2005|4|19719|648.0|20367|DEN|Origin
2005|5|21570|698.0|22268|DEN|Origin
2005|6|22204|689.0|22893|DEN|Origin
2005|7|23349|661.0|24010|DEN|Origin
2005|8|23350|638.0|23988|DEN|Origin
2005|9|21250|522.0|21772|DEN|Origin
2005|10|21136|574.0|21710|DEN|Origin
2005|11|19832|530.0|20362|DEN|Origin
2005|12|21103|672.0|21775|DEN|Origin
2005|TOTAL|254099|7521.0|261620|DEN|Origin
2006|1|21711|738.0|22449|DEN|Origin
2006|2|20027|673.0|20700|DEN|Origin
2006|3|22762|809.0|23571|DEN|Origin
2006|4|21479|760.0|22239|DEN|Origin
2006|5|23367|749.0|24116|DEN|Origin
2006|6|23546|818.0|24364|DEN|Origin
2006|7|24605|845.0|25450|DEN|Origin
2006|8|25167|790.0|25957|DEN|Origin
2006|9|22798|766.0|23564|DEN|Origin
2006|10|23229|796.0|24025|DEN|Origin
2006|11|21759|814.0|22573|DEN|Origin
2006|12|20658|891.0|21549|DEN|Origin
2006|TOTAL|271108|9449.0|280557|DEN|Origin
2007|1|22979|958.0|23937|DEN|Origin
2007|2|20746|876.0|21622|DEN|Origin
2007|3|24144|1046.0|25190|DEN|Origin
2007|4|22761|988.0|23749|DEN|Origin
2007|5|23680|1036.0|24716|DEN|Origin
2007|6|23613|1020.0|24633|DEN|Origin
2007|7|25104|964.0|26068|DEN|Origin
2007|8|25134|958.0|26092|DEN|Origin
2007|9|22946|857.0|23803|DEN|Origin
2007|10|23778|941.0|24719|DEN|Origin
2007|11|22659|964.0|23623|DEN|Origin
2007|12|23021|1106.0|24127|DEN|Origin
2007|TOTAL|280565|11714.0|292279|DEN|Origin
2008|1|23175|992.0|24167|DEN|Origin
2008|2|22372|894.0|23266|DEN|Origin
2008|3|23883|1014.0|24897|DEN|Origin
2008|4|23501|978.0|24479|DEN|Origin
2008|5|24730|975.0|25705|DEN|Origin
2008|6|25004|978.0|25982|DEN|Origin
2008|7|25866|932.0|26798|DEN|Origin
2008|8|25444|936.0|26380|DEN|Origin
2008|9|22436|881.0|23317|DEN|Origin
2008|10|23032|866.0|23898|DEN|Origin
2008|11|21712|860.0|22572|DEN|Origin
2008|12|22965|986.0|23951|DEN|Origin
2008|TOTAL|284120|11292.0|295412|DEN|Origin
2009|1|22812|1008.0|23820|DEN|Origin
2009|2|21165|951.0|22116|DEN|Origin
2009|3|23905|1058.0|24963|DEN|Origin
2009|4|22293|1017.0|23310|DEN|Origin
2009|5|23269|863.0|24132|DEN|Origin
2009|6|24609|898.0|25507|DEN|Origin
2009|7|25542|1025.0|26567|DEN|Origin
2009|8|25328|1023.0|26351|DEN|Origin
2009|9|22643|871.0|23514|DEN|Origin
2009|10|22816|895.0|23711|DEN|Origin
2009|11|22021|864.0|22885|DEN|Origin
2009|12|23339|995.0|24334|DEN|Origin
2009|TOTAL|279742|11468.0|291210|DEN|Origin
2010|1|23220|1023.0|24243|DEN|Origin
2010|2|21482|1005.0|22487|DEN|Origin
2010|3|24296|1170.0|25466|DEN|Origin
2010|4|23248|1096.0|24344|DEN|Origin
2010|5|24086|1031.0|25117|DEN|Origin
2010|6|24963|980.0|25943|DEN|Origin
2010|7|26184|1009.0|27193|DEN|Origin
2010|8|26281|973.0|27254|DEN|Origin
2010|9|24380|863.0|25243|DEN|Origin
2010|10|24773|908.0|25681|DEN|Origin
2010|11|23227|798.0|24025|DEN|Origin
2010|12|24271|950.0|25221|DEN|Origin
2010|TOTAL|290411|11806.0|302217|DEN|Origin
2011|1|23118|1007.0|24125|DEN|Origin
2011|2|21641|932.0|22573|DEN|Origin
2011|3|25319|1065.0|26384|DEN|Origin
2011|4|23699|1035.0|24734|DEN|Origin
2011|5|24677|931.0|25608|DEN|Origin
